county,val_list
Cook,"[5223719, 0, 1, 0]"
DuPage,"[931743, 0, 1, 0]"
Lake,"[703619, 0, 1, 0]"
Will,"[688697, 0, 1, 0]"
Kane,"[530839, 0, 1, 0]"
McHenry,"[307789, 0, 1, 0]"
Winnebago,"[286174, 0, 1, 0]"
Madison,"[265670, 0, 1, 0]"
St. Clair,"[263463, 0, 1, 0]"
Champaign,"[209448, 0, 1, 0]"
Sangamon,"[197661, 0, 1, 0]"
Peoria,"[184463, 0, 1, 0]"
McLean,"[173219, 0, 1, 0]"
Rock Island,"[145275, 0, 1, 0]"
Tazewell,"[133852, 0, 1, 0]"
Kendall,"[124626, 0, 1, 0]"
Kankakee,"[111061, 0, 1, 0]"
LaSalle,"[110401, 0, 1, 0]"
Macon,"[106512, 0, 1, 0]"
DeKalb,"[104200, 0, 1, 0]"
Vermilion,"[78407, 0, 1, 0]"
Williamson,"[67299, 0, 1, 0]"
Adams,"[66427, 0, 1, 0]"
Jackson,"[58551, 0, 1, 0]"
Whiteside,"[56396, 0, 1, 0]"
Boone,"[53606, 0, 1, 0]"
Coles,"[51736, 0, 1, 0]"
Ogle,"[51328, 0, 1, 0]"
Knox,"[50999, 0, 1, 0]"
Grundy,"[50509, 0, 1, 0]"
Henry,"[49464, 0, 1, 0]"
Macoupin,"[45719, 0, 1, 0]"
Stephenson,"[45433, 0, 1, 0]"
Franklin,"[39127, 0, 1, 0]"
Woodford,"[38817, 0, 1, 0]"
Jefferson,"[38169, 0, 1, 0]"
Marion,"[38084, 0, 1, 0]"
Clinton,"[37628, 0, 1, 0]"
Livingston,"[36324, 0, 1, 0]"
Fulton,"[35418, 0, 1, 0]"
Lee,"[34527, 0, 1, 0]"
Morgan,"[34426, 0, 1, 0]"
Effingham,"[34174, 0, 1, 0]"
Monroe,"[33936, 0, 1, 0]"
Bureau,"[33381, 0, 1, 0]"
Christian,"[33231, 0, 1, 0]"
Randolph,"[32546, 0, 1, 0]"
McDonough,"[30875, 0, 1, 0]"
Logan,"[29207, 0, 1, 0]"
Montgomery,"[29009, 0, 1, 0]"
Iroquois,"[28169, 0, 1, 0]"
Saline,"[24231, 0, 1, 0]"
Jersey,"[22069, 0, 1, 0]"
Jo Daviess,"[21834, 0, 1, 0]"
Shelby,"[21832, 0, 1, 0]"
Fayette,"[21724, 0, 1, 0]"
Perry,"[21384, 0, 1, 0]"
Douglas,"[19714, 0, 1, 0]"
Crawford,"[19088, 0, 1, 0]"
Hancock,"[18112, 0, 1, 0]"
Edgar,"[17539, 0, 1, 0]"
Warren,"[17338, 0, 1, 0]"
Union,"[17127, 0, 1, 0]"
Bond,"[16712, 0, 1, 0]"
Wayne,"[16487, 0, 1, 0]"
Piatt,"[16427, 0, 1, 0]"
Lawrence,"[16189, 0, 1, 0]"
De Witt,"[16042, 0, 1, 0]"
Richland,"[15881, 0, 1, 0]"
Clark,"[15836, 0, 1, 0]"
Pike,"[15754, 0, 1, 0]"
Mercer,"[15693, 0, 1, 0]"
Moultrie,"[14703, 0, 1, 0]"
Carroll,"[14562, 0, 1, 0]"
Massac,"[14430, 0, 1, 0]"
Washington,"[14155, 0, 1, 0]"
White,"[14025, 0, 1, 0]"
Mason,"[13778, 0, 1, 0]"
Ford,"[13398, 0, 1, 0]"
Clay,"[13338, 0, 1, 0]"
Greene,"[13218, 0, 1, 0]"
Cass,"[12665, 0, 1, 0]"
Johnson,"[12602, 0, 1, 0]"
Menard,"[12367, 0, 1, 0]"
Marshall,"[11794, 0, 1, 0]"
Wabash,"[11573, 0, 1, 0]"
Cumberland,"[10865, 0, 1, 0]"
Jasper,"[9598, 0, 1, 0]"
Hamilton,"[8221, 0, 1, 0]"
Schuyler,"[7064, 0, 1, 0]"
Henderson,"[6884, 0, 1, 0]"
Brown,"[6675, 0, 1, 0]"
Alexander,"[6532, 0, 1, 0]"
Edwards,"[6507, 0, 1, 0]"
Putnam,"[5746, 0, 1, 0]"
Pulaski,"[5611, 0, 1, 0]"
Stark,"[5500, 0, 1, 0]"
Gallatin,"[5157, 0, 1, 0]"
Scott,"[5047, 0, 1, 0]"
Calhoun,"[4858, 0, 1, 0]"
Pope,"[4249, 0, 1, 0]"
Hardin,"[4009, 0, 1, 0]"
